area_of_activity,country,end_day,end_month,end_year,eruption_category,eruption_number,evidence_category,evidence_method_dating,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,start_day,start_month,start_year,subregion,tectonic_settings,vei,volcano_name,volcano_name (eruptions.csv),volcano_number,volcano_number (eruptions.csv),Area_sq_miles,elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
NA,Guatemala,15,1,1582,Confirmed Eruption,10673,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Trachyandesite / Basaltic Trachyandesite, , , , ,"112,9",Stratovolcano,LATIN AMER. & CARIB,México and Central America,5,12,1581,Guatemala,Subduction zone / Continental crust (>25 km),4,Fuego,Fuego,342090,342090,108890,3763,14.473,-90.88,12293545,7677809,54332,1016339,1373
NA,Colombia,7,12,1580,Confirmed Eruption,11349,Eruption Observed,Historical Observations,2014,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"38,3",Complex,LATIN AMER. & CARIB,South America,7,12,1580,Colombia,Subduction zone / Continental crust (>25 km),3,Galeras,Galeras,351080,351080,1138910,4276,1.22,-77.37,43593035,1700248,120817,630777,705
NA,Iceland,NA,NA,NA,Confirmed Eruption,12669,Eruption Observed,Historical Observations,1918,Basalt / Picro-Basalt,Rhyolite,Dacite, , ,Andesite / Basaltic Andesite, , , , ,"2,9",Others,WESTERN EUROPE,Iceland and Arctic Ocean,11,8,1580,Iceland (southern),Rift zone / Oceanic crust (< 15 km),4,Katla,Katla,372030,372030,103000,1490,63.633,-19.083,299388,11326,0,473,0
NA,Ecuador,NA,NA,NA,Uncertain Eruption,11481,Eruption Observed,NA,2002,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,0,0,1580,Ecuador,Subduction zone / Continental crust (>25 km),2,Guagua Pichincha,Guagua Pichincha,352020,352020,283560,4784,-0.171,-78.598,13547510,3581801,32488,2064475,449
NA,Mexico,NA,NA,NA,Confirmed Eruption,10529,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , ,Trachyandesite / Basaltic Trachyandesite, , , , ,"54,5",Stratovolcano,LATIN AMER. & CARIB,México and Central America,0,0,1580,Mexico,Subduction zone / Continental crust (>25 km),2,Popocatepetl,Popocatepetl,341090,341090,1972550,5393,19.023,-98.622,107449525,26509510,2584,634054,325
NA,Papua New Guinea,NA,NA,NA,Confirmed Eruption,15112,Eruption Dated,Radiocarbon (uncorrected),1580,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"12,3",Others,OCEANIA,Melanesia and Australia,0,0,1580,Bougainville and Solomon Islands,Subduction zone / Crustal thickness unknown,6,Billy Mitchell,Billy Mitchell,255011,255011,462840,1544,-6.092,155.225,5670544,119191,449,9620,113
Jigoku-no-oana,Japan,NA,NA,NA,Confirmed Eruption,17479,Eruption Observed,Historical Observations,1659,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",27,9,1579,Honshu,Subduction zone / Continental crust (>25 km),3,Hakusan,Hakusan,283050,283050,377835,2702,36.155,136.771,127463611,5959200,807,63965,474
SE flank,Italy,0,0,1580,Confirmed Eruption,13673,Eruption Observed,Historical Observations,2020,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , ,Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite, , , ,"193,0",Stratovolcano,WESTERN EUROPE,Mediterranean and Western Asia,9,9,1579,Italy,Subduction zone / Continental crust (>25 km),NA,Etna,Etna,211060,211060,301230,3295,37.748,14.999,58133509,3052770,3291,1016540,78
NA,Chile,NA,NA,NA,Confirmed Eruption,21035,Eruption Observed,Varve Count,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Rhyolite, , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,,,1579,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),2,Villarrica,Villarrica,357120,357120,756950,2847,-39.42,-71.93,16134219,667788,1067,35118,477
NA,Nicaragua,NA,NA,NA,Confirmed Eruption,10987,Eruption Observed,Historical Observations,2016,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"43,0",Stratovolcano,LATIN AMER. & CARIB,México and Central America,0,2,1578,Nicaragua,Subduction zone / Continental crust (>25 km),2,Momotombo,Momotombo,344090,344090,129494,1270,12.423,-86.539,5570129,3569021,1851,98583,100
NA,Italy,NA,NA,NA,Uncertain Eruption,13672,Eruption Observed,NA,2020,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , ,Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite, , , ,"193,0",Stratovolcano,WESTERN EUROPE,Mediterranean and Western Asia,0,0,1578,Italy,Subduction zone / Continental crust (>25 km),NA,Etna,Etna,211060,211060,301230,3295,37.748,14.999,58133509,3052770,3291,1016540,78
NA,Guatemala,NA,NA,NA,Uncertain Eruption,10672,Eruption Observed,NA,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Trachyandesite / Basaltic Trachyandesite, , , , ,"112,9",Stratovolcano,LATIN AMER. & CARIB,México and Central America,0,0,1577,Guatemala,Subduction zone / Continental crust (>25 km),2,Fuego,Fuego,342090,342090,108890,3763,14.473,-90.88,12293545,7677809,54332,1016339,1373
NA,Ecuador,NA,NA,NA,Uncertain Eruption,11480,Eruption Observed,NA,2002,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,0,0,1577,Ecuador,Subduction zone / Continental crust (>25 km),2,Guagua Pichincha,Guagua Pichincha,352020,352020,283560,4784,-0.171,-78.598,13547510,3581801,32488,2064475,449
Naka-dake,Japan,NA,NA,NA,Confirmed Eruption,17243,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",15,11,1576,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),2,Asosan,Asosan,282110,282110,377835,1592,32.884,131.104,127463611,6507519,75559,234591,75559
NA,Guatemala,NA,NA,NA,Uncertain Eruption,10671,Eruption Observed,NA,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Trachyandesite / Basaltic Trachyandesite, , , , ,"112,9",Stratovolcano,LATIN AMER. & CARIB,México and Central America,0,0,1576,Guatemala,Subduction zone / Continental crust (>25 km),2,Fuego,Fuego,342090,342090,108890,3763,14.473,-90.88,12293545,7677809,54332,1016339,1373
NA,Mexico,NA,NA,NA,Confirmed Eruption,10413,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite, , , , ,Dacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, ,"54,5",Stratovolcano,LATIN AMER. & CARIB,México and Central America,0,0,1576,Mexico,Subduction zone / Continental crust (>25 km),3,Colima,Colima,341040,341040,1972550,3850,19.514,-103.62,107449525,1494790,746,303490,76
Ohachi,Japan,0,0,1578,Confirmed Eruption,17119,Eruption Observed,Historical Observations,2018,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"337,4",Shield,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,1576,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),2,Kirishimayama,Kirishimayama,282090,282090,377835,1700,31.934,130.862,127463611,3972044,8415,407050,647
