area_of_activity,country,end_day,end_month,end_year,eruption_category,eruption_number,evidence_category,evidence_method_dating,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,start_day,start_month,start_year,subregion,tectonic_settings,vei,volcano_name,volcano_name (eruptions.csv),volcano_number,volcano_number (eruptions.csv),Area_sq_miles,elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
NA,Russia,24,6,1991,Confirmed Eruption,19469,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,8,4,1991,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),2,Klyuchevskoy,Klyuchevskoy,300260,300260,17075200,4754,56.056,160.642,142893540,12406,0,292,0
Lower north flank and summit,Philippines,2,9,1991,Confirmed Eruption,16867,Eruption Observed,Historical Observations,1993,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,"298,2",Stratovolcano,ASIA (EX. NEAR EAST),Philippines and SE Asia,2,4,1991,Luzon,Subduction zone / Continental crust (>25 km),6,Pinatubo,Pinatubo,273083,273083,300000,1486,15.13,120.35,89468677,21875048,3808,1148684,725
Anak Ranakah,Indonesia,NA,NA,NA,Confirmed Eruption,16255,Eruption Observed,Historical Observations,1991,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"127,9",Lava dome,ASIA (EX. NEAR EAST),Indonesia,16,3,1991,Lesser Sunda Islands,Subduction zone / Continental crust (>25 km),1,Ranakah,Ranakah,264071,264071,1919440,2350,-8.62,120.52,245452739,860496,63314,291790,1283
NA,Costa Rica,16,9,1991,Confirmed Eruption,11184,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"79,8",Stratovolcano,LATIN AMER. & CARIB,México and Central America,6,3,1991,Costa Rica,Subduction zone / Continental crust (>25 km),1,Poas,Poas,345040,345040,51100,2708,10.2,-84.233,4075261,3411023,11107,950796,1947
NA,Mexico,16,10,1991,Confirmed Eruption,10473,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite, , , , ,Dacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, ,"54,5",Stratovolcano,LATIN AMER. & CARIB,México and Central America,1,3,1991,Mexico,Subduction zone / Continental crust (>25 km),2,Colima,Colima,341040,341040,1972550,3850,19.514,-103.62,107449525,1494790,746,303490,76
NA,Philippines,14,2,1991,Confirmed Eruption,16742,Eruption Observed,Historical Observations,2017,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , , , , , , , ,"298,2",Stratovolcano,ASIA (EX. NEAR EAST),Philippines and SE Asia,14,2,1991,Central Philippines,Subduction zone / Continental crust (>25 km),2,Kanlaon,Kanlaon,272020,272020,300000,2435,10.412,123.132,89468677,9345000,40276,923257,1662
Peteroa,Chile,2,3,1991,Confirmed Eruption,11945,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,9,2,1991,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),2,Planchon-Peteroa,Planchon-Peteroa,357040,357040,756950,3977,-35.223,-70.568,16134219,634959,48,1345,6
"Summit, SW, SE & NE flank fissures",Iceland,11,3,1991,Confirmed Eruption,12753,Eruption Observed,Historical Observations,2000,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite,Dacite, , , , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,17,1,1991,Iceland (southern),Rift zone / Oceanic crust (< 15 km),3,Hekla,Hekla,372070,372070,103000,1490,63.983,-19.666,299388,22845,0,298,0
Northern crater,Russia,16,1,1991,Confirmed Eruption,18876,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kuril Islands,16,1,1991,Kuril Islands,Subduction zone / Continental crust (>25 km),1,Ebeko,Ebeko,290380,290380,17075200,1103,50.686,156.014,142893540,3098,267,1076,0
NA,Russia,30,1,1991,Confirmed Eruption,19103,Eruption Observed,Historical Observations,2001,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,13,1,1991,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),2,Avachinsky,Avachinsky,300100,300100,17075200,2717,53.256,158.836,142893540,270205,0,180016,0
NA,Indonesia,NA,NA,NA,Confirmed Eruption,15521,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,31,12,1990,Sumatra,Subduction zone / Continental crust (>25 km),2,Kerinci,Kerinci,261170,261170,1919440,3800,-1.697,101.264,245452739,1437454,33878,264107,304
NA,Chile,24,11,1990,Confirmed Eruption,11866,Eruption Observed,Historical Observations,2017,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,24,11,1990,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),1,Lascar,Lascar,355100,355100,756950,5592,-23.37,-67.73,16134219,8119,70,570,0
Fugen-dake,Japan,16,2,1995,Confirmed Eruption,17181,Eruption Observed,Historical Observations,1996,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Complex,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",17,11,1990,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),1,Unzendake,Unzendake,282100,282100,377835,1483,32.761,130.299,127463611,7313362,76424,444737,6979
North side of lava dome,United States of America,14,2,1991,Confirmed Eruption,20559,Eruption Observed,Historical Observations,2008,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Canada and Western USA,5,11,1990,USA (Washington),Subduction zone / Continental crust (>25 km),3,St. Helens,St. Helens,321050,321050,9631420,2549,46.2,-122.18,298444215,2173101,427,2221,78
NA,El Salvador,NA,NA,NA,Discredited Eruption,19890,Evidence Credible,NA,Unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Dacite,Rhyolite, , , , , ,"324,3",Stratovolcano,LATIN AMER. & CARIB,México and Central America,13,10,1990,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),NA,Apaneca Range,Apaneca Range,343010,343010,21040,2036,13.891,-89.786,6822378,6215853,151502,1113282,11141
Mihara-yama (1987 summit crater),Japan,4,10,1990,Confirmed Eruption,18244,Eruption Observed,Historical Observations,1990,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite, , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",4,10,1990,"Izu, Volcano, and Mariana Islands",Subduction zone / Oceanic crust (< 15 km),2,Izu-Oshima,Izu-Oshima,284010,284010,377835,758,34.724,139.394,127463611,11837468,8037,8375,2381
"Mbwelesu, Niri Mbwelesu, Niri Taten",Vanuatu,16,7,1991,Confirmed Eruption,15289,Eruption Observed,Historical Observations,2018,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,"17,1",Others,OCEANIA,Melanesia and Australia,16,9,1990,Vanuatu,Subduction zone / Intermediate crust (15-25 km),2,Ambrym,Ambrym,257040,257040,12200,1334,-16.25,168.12,208869,63999,186,10826,9
NA,United States of America,1,10,1990,Confirmed Eruption,20035,Eruption Observed,Historical Observations,1992,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Dacite, , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,6,9,1990,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),2,Akutan,Akutan,311320,311320,9631420,1303,54.134,-165.986,298444215,4361,24,233,0
NA,Japan,20,7,1990,Confirmed Eruption,17808,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Complex,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",20,7,1990,Honshu,Subduction zone / Continental crust (>25 km),2,Asamayama,Asamayama,283110,283110,377835,2568,36.406,138.523,127463611,7629353,22371,457576,583
Cordón Caulle,Chile,NA,NA,NA,Confirmed Eruption,12216,Eruption Observed,Historical Observations,2012,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,2,7,1990,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),1,Puyehue-Cordon Caulle,Puyehue-Cordon Caulle,357150,357150,756950,2236,-40.59,-72.117,16134219,515357,783,7163,129
NA,New Zealand,8,9,1990,Confirmed Eruption,14660,Eruption Observed,Historical Observations,2007,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,"15,2",Stratovolcano,OCEANIA,New Zealand to Fiji,17,6,1990,New Zealand,Subduction zone / Continental crust (>25 km),0,Ruapehu,Ruapehu,241100,241100,268680,2797,-39.28,175.57,4076140,119709,298,6901,14
NA,Peru,16,9,1998,Confirmed Eruption,11750,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"22,0",Stratovolcano,LATIN AMER. & CARIB,South America,28,5,1990,Peru,Subduction zone / Continental crust (>25 km),3,Sabancaya,Sabancaya,354006,354006,1285220,5960,-15.787,-71.857,28302603,1052517,526,12678,51
NA,Indonesia,26,4,1990,Confirmed Eruption,16670,Eruption Observed,Historical Observations,2018,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,25,4,1990,Halmahera,Subduction zone / Oceanic crust (< 15 km),3,Gamalama,Gamalama,268060,268060,1919440,1715,0.8,127.33,245452739,536972,204820,308691,103429
NA,Chile,24,4,1990,Uncertain Eruption,11843,Evidence Uncertain,NA,Unknown,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,24,4,1990,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),1,Pular,Pular,355107,355107,756950,6233,-24.188,-68.054,16134219,5000,0,50,0
1981 crater,Ecuador,10,5,1990,Confirmed Eruption,11493,Eruption Observed,Historical Observations,2002,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,16,4,1990,Ecuador,Subduction zone / Continental crust (>25 km),1,Guagua Pichincha,Guagua Pichincha,352020,352020,283560,4784,-0.171,-78.598,13547510,3581801,32488,2064475,449
O-take,Japan,14,7,1996,Confirmed Eruption,16941,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",16,4,1990,Ryukyu Islands and Kyushu,Subduction zone / Oceanic crust (< 15 km),2,Suwanosejima,Suwanosejima,282030,282030,377835,796,29.638,129.714,127463611,1966,107,325,107
NA,Grenada,28,3,1990,Confirmed Eruption,12467,Eruption Observed,Hydrophonic,2017,Basalt / Picro-Basalt, , , , ,Andesite / Basaltic Andesite,Dacite, , , ,"260,8",Others,LATIN AMER. & CARIB,West Indies,26,3,1990,West Indies,Subduction zone / Oceanic crust (< 15 km),0,Kick 'em Jenny,Kick 'em Jenny,360160,360160,344,-185,12.3,-61.64,89703,104256,4687,72786,0
NA,United States of America,5,3,1990,Confirmed Eruption,20150,Eruption Observed,Historical Observations,2016,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,5,3,1990,Alaska Peninsula,Subduction zone / Continental crust (>25 km),2,Pavlof,Pavlof,312030,312030,9631420,2493,55.417,-161.894,298444215,3002,0,0,0
NA,Chile,25,11,1990,Confirmed Eruption,12067,Eruption Observed,Historical Observations,2009,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite, , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,25,2,1990,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),1,Llaima,Llaima,357110,357110,756950,3125,-38.692,-71.729,16134219,630458,811,18568,86
NA,Indonesia,13,3,1990,Confirmed Eruption,15957,Eruption Observed,Historical Observations,2014,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,10,2,1990,Java,Subduction zone / Continental crust (>25 km),4,Kelut,Kelut,263280,263280,1919440,1731,-7.93,112.308,245452739,24999627,50901,2087876,279
NA,Russia,29,11,1991,Confirmed Eruption,19366,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,29,1,1990,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),3,Bezymianny,Bezymianny,300250,300250,17075200,2882,55.972,160.595,142893540,11728,0,47,0
Lewotabi Lakilaki,Indonesia,16,6,1990,Confirmed Eruption,16297,Eruption Observed,Historical Observations,2003,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,28,1,1990,Lesser Sunda Islands,Subduction zone / Crustal thickness unknown,1,Lewotobi,Lewotobi,264180,264180,1919440,1703,-8.542,122.775,245452739,906184,59084,284976,18686
NA,United States of America,26,1,1990,Confirmed Eruption,20034,Eruption Observed,Historical Observations,1992,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Dacite, , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,26,1,1990,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),2,Akutan,Akutan,311320,311320,9631420,1303,54.134,-165.986,298444215,4361,24,233,0
Dolomieu and SE flank,France,8,5,1990,Confirmed Eruption,14373,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"111,3",Shield,WESTERN EUROPE,Middle East and Indian Ocean,18,1,1990,Indian Ocean (western),Intraplate / Oceanic crust (< 15 km),0,"Fournaise, Piton de la","Fournaise, Piton de la",233020,233020,547030,2632,-21.244,55.708,60876136,717820,55859,246792,55859
NA,Indonesia,16,12,1990,Confirmed Eruption,16149,Eruption Observed,Historical Observations,2015,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,16,1,1990,Java,Subduction zone / Continental crust (>25 km),2,Raung,Raung,263340,263340,1919440,3260,-8.119,114.056,245452739,8123987,572,581515,152
NA,Russia,16,2,1995,Confirmed Eruption,19585,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,10,1,1990,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),3,Sheveluch,Sheveluch,300270,300270,17075200,3283,56.653,161.36,142893540,11613,0,1718,0
NA,New Zealand,26,1,1990,Confirmed Eruption,14659,Eruption Observed,Historical Observations,2007,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,"15,2",Stratovolcano,OCEANIA,New Zealand to Fiji,7,1,1990,New Zealand,Subduction zone / Continental crust (>25 km),1,Ruapehu,Ruapehu,241100,241100,268680,2797,-39.28,175.57,4076140,119709,298,6901,14
NA,Colombia,16,7,1992,Confirmed Eruption,11373,Eruption Observed,Historical Observations,2014,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"38,3",Complex,LATIN AMER. & CARIB,South America,7,1,1990,Colombia,Subduction zone / Continental crust (>25 km),2,Galeras,Galeras,351080,351080,1138910,4276,1.22,-77.37,43593035,1700248,120817,630777,705
MacKenney Crater and flank vents,Guatemala,1,3,2000,Confirmed Eruption,10762,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Dacite,Rhyolite,Andesite / Basaltic Andesite, ,Trachyandesite / Basaltic Trachyandesite, , , , ,"112,9",Complex,LATIN AMER. & CARIB,México and Central America,4,1,1990,Guatemala,Subduction zone / Continental crust (>25 km),3,Pacaya,Pacaya,342110,342110,108890,2569,14.382,-90.601,12293545,7033094,53579,2454482,4250
SE and NE Craters,Italy,23,5,1992,Confirmed Eruption,13821,Eruption Observed,Historical Observations,2020,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , ,Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite, , , ,"193,0",Stratovolcano,WESTERN EUROPE,Mediterranean and Western Asia,16,12,1989,Italy,Subduction zone / Continental crust (>25 km),3,Etna,Etna,211060,211060,301230,3295,37.748,14.999,58133509,3052770,3291,1016540,78
North side of lava dome,United States of America,6,1,1990,Confirmed Eruption,20558,Eruption Observed,Historical Observations,2008,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Canada and Western USA,7,12,1989,USA (Washington),Subduction zone / Continental crust (>25 km),2,St. Helens,St. Helens,321050,321050,9631420,2549,46.2,-122.18,298444215,2173101,427,2221,78
NA,Philippines,13,12,1989,Confirmed Eruption,16741,Eruption Observed,Historical Observations,2017,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , , , , , , , ,"298,2",Stratovolcano,ASIA (EX. NEAR EAST),Philippines and SE Asia,25,10,1989,Central Philippines,Subduction zone / Continental crust (>25 km),2,Kanlaon,Kanlaon,272020,272020,300000,2435,10.412,123.132,89468677,9345000,40276,923257,1662
"SE Crater, SE and NE flanks",Italy,9,10,1989,Confirmed Eruption,13820,Eruption Observed,Historical Observations,2020,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , ,Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite, , , ,"193,0",Stratovolcano,WESTERN EUROPE,Mediterranean and Western Asia,11,9,1989,Italy,Subduction zone / Continental crust (>25 km),2,Etna,Etna,211060,211060,301230,3295,37.748,14.999,58133509,3052770,3291,1016540,78
NA,Solomon Islands,16,2,1990,Confirmed Eruption,15203,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt,Dacite, , , ,"19,4",Stratovolcano,OCEANIA,Melanesia and Australia,16,8,1989,Santa Cruz Islands,Subduction zone / Crustal thickness unknown,1,Tinakula,Tinakula,256010,256010,28450,796,-10.386,165.804,552438,20155,19,19,0
NA,Russia,4,8,1989,Confirmed Eruption,19365,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,1,8,1989,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),2,Bezymianny,Bezymianny,300250,300250,17075200,2882,55.972,160.595,142893540,11728,0,47,0
NA,Japan,18,7,1989,Uncertain Eruption,18341,Eruption Observed,NA,1916,Dacite,Basalt / Picro-Basalt,Rhyolite, , ,Andesite / Basaltic Andesite, , , , ,"337,4",Others,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",18,7,1989,"Izu, Volcano, and Mariana Islands",Subduction zone / Oceanic crust (< 15 km),0,Sumisujima,Sumisujima,284080,284080,377835,136,31.44,140.051,127463611,0,0,0,0
Funka-Asane,Japan,16,7,1989,Uncertain Eruption,18385,Eruption Observed,NA,1945,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",16,7,1989,"Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,0,Kita-Ioto,Kita-Ioto,284110,284110,377835,792,25.424,141.284,127463611,1210,162,162,158
Teishi-kaikyu (4 km NE of Ito City),Japan,13,7,1989,Confirmed Eruption,17379,Eruption Observed,Historical Observations,1989,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , ,Rhyolite, , , , ,"337,4",Pyroclastic cone,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",13,7,1989,Honshu,Subduction zone / Continental crust (>25 km),1,Izu-Tobu,Izu-Tobu,283010,283010,377835,1406,34.9,139.098,127463611,17928355,61727,447660,5886
NA,New Zealand,20,9,1989,Confirmed Eruption,14658,Eruption Observed,Historical Observations,2007,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,"15,2",Stratovolcano,OCEANIA,New Zealand to Fiji,1,7,1989,New Zealand,Subduction zone / Continental crust (>25 km),1,Ruapehu,Ruapehu,241100,241100,268680,2797,-39.28,175.57,4076140,119709,298,6901,14
NE flank (2860 m),Cameroon,29,5,1989,Confirmed Eruption,14133,Eruption Observed,Historical Observations,2000,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Foidite, , , ,"36,5",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,29,5,1989,Africa (western),Intraplate / Continental crust (>25 km),1,Cameroon,Cameroon,224010,224010,475440,4095,4.203,9.17,17340702,3079036,26053,417460,328
"Marum, Benbow, Niri Mbwelesu Taten",Vanuatu,23,12,1989,Confirmed Eruption,15288,Eruption Observed,Historical Observations,2018,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,"17,1",Others,OCEANIA,Melanesia and Australia,24,4,1989,Vanuatu,Subduction zone / Intermediate crust (15-25 km),2,Ambrym,Ambrym,257040,257040,12200,1334,-16.25,168.12,208869,63999,186,10826,9
NA,Indonesia,23,4,1989,Confirmed Eruption,16431,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,22,4,1989,Sulawesi,Subduction zone / Continental crust (>25 km),2,Soputan,Soputan,266030,266030,1919440,1785,1.112,124.737,245452739,1696768,69991,501336,4724
Upper East flank,Japan,26,4,1989,Confirmed Eruption,17549,Eruption Observed,Historical Observations,1998,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Lava dome,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",19,4,1989,Honshu,Subduction zone / Continental crust (>25 km),1,Niigata-Yakeyama,Niigata-Yakeyama,283090,283090,377835,2400,36.921,138.036,127463611,3920252,610,226866,73
NA,Russia,26,6,1989,Confirmed Eruption,19567,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,7,4,1989,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),2,Sheveluch,Sheveluch,300270,300270,17075200,3283,56.653,161.36,142893540,11613,0,1718,0
Naka-dake,Japan,9,2,1991,Confirmed Eruption,17345,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",5,4,1989,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),2,Asosan,Asosan,282110,282110,377835,1592,32.884,131.104,127463611,6507519,75559,234591,75559
NA,United States of America,28,3,1989,Confirmed Eruption,20033,Eruption Observed,Historical Observations,1992,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Dacite, , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,27,2,1989,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),2,Akutan,Akutan,311320,311320,9631420,1303,54.134,-165.986,298444215,4361,24,233,0
Santiago,Nicaragua,16,11,1989,Confirmed Eruption,11031,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"43,0",Caldera,LATIN AMER. & CARIB,México and Central America,20,2,1989,Nicaragua,Subduction zone / Continental crust (>25 km),1,Masaya,Masaya,344100,344100,129494,594,11.985,-86.165,5570129,2926954,989888,1914707,989888
El Pinta vent,Colombia,9,5,1989,Confirmed Eruption,11372,Eruption Observed,Historical Observations,2014,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"38,3",Complex,LATIN AMER. & CARIB,South America,19,2,1989,Colombia,Subduction zone / Continental crust (>25 km),2,Galeras,Galeras,351080,351080,1138910,4276,1.22,-77.37,43593035,1700248,120817,630777,705
Northern crater and upper east flank,Russia,15,4,1990,Confirmed Eruption,18875,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kuril Islands,2,2,1989,Kuril Islands,Subduction zone / Continental crust (>25 km),2,Ebeko,Ebeko,290380,290380,17075200,1103,50.686,156.014,142893540,3098,267,1076,0
NA,United Kingdom,22,3,1990,Confirmed Eruption,22332,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"247,6",Stratovolcano,WESTERN EUROPE,Antarctica,30,1,1989,Antarctica and South Sandwich Islands,Subduction zone / Oceanic crust (< 15 km),0,Saunders,Saunders,390090,390090,244820,843,-57.8,-26.483,60609153,0,0,0,0
NA,Japan,18,1,1989,Uncertain Eruption,18340,Eruption Observed,NA,1916,Dacite,Basalt / Picro-Basalt,Rhyolite, , ,Andesite / Basaltic Andesite, , , , ,"337,4",Others,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",18,1,1989,"Izu, Volcano, and Mariana Islands",Subduction zone / Oceanic crust (< 15 km),0,Sumisujima,Sumisujima,284080,284080,377835,136,31.44,140.051,127463611,0,0,0,0
NA,Russia,14,1,1989,Confirmed Eruption,18818,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite, , , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kuril Islands,13,1,1989,Kuril Islands,Subduction zone / Intermediate crust (15-25 km),1,Sarychev Peak,Sarychev Peak,290240,290240,17075200,1496,48.092,153.2,142893540,148,143,143,17
NW part of Yu-gama,Japan,6,1,1989,Uncertain Eruption,17845,Eruption Observed,NA,2018,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",6,1,1989,Honshu,Subduction zone / Continental crust (>25 km),1,Kusatsu-Shiranesan,Kusatsu-Shiranesan,283120,283120,377835,2165,36.618,138.528,127463611,5947593,14296,434049,4485
