country,country (volcano.csv),evidence_category,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,subregion,tectonic_settings,volcano_name,volcano_number,Area (sq. mi.),elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
Indonesia,Indonesia,Eruption Observed,1880,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Sulawesi,Subduction zone / Continental crust (>25 km),Tangkoko-Duasudara,266130,1919440,1334,1.518,125.185,245452739,1227998,57792,135761,445
Indonesia,Indonesia,Eruption Observed,2019,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Java,Subduction zone / Continental crust (>25 km),Tangkuban Parahu,263090,1919440,2084,-6.77,107.6,245452739,32855731,518822,5729309,100608
Russia,Russia,Eruption Observed,1952,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kuril Islands,Kuril Islands,Subduction zone / Intermediate crust (15-25 km),Tao-Rusyr Caldera,290310,17075200,1325,49.35,154.7,142893540,394,73,83,0
Indonesia,Indonesia,Evidence Credible,Unknown,Basalt / Picro-Basalt, , , , , , , , , ,"127,9",Pyroclastic cone,ASIA (EX. NEAR EAST),Indonesia,Halmahera,Subduction zone / Oceanic crust (< 15 km),Tarakan,268001,1919440,318,1.83,127.83,245452739,360761,23570,85055,18056
New Zealand,New Zealand,Eruption Observed,1800,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , ,"15,2",Stratovolcano,OCEANIA,New Zealand to Fiji,New Zealand,Subduction zone / Continental crust (>25 km),Taranaki,241030,268680,2518,-39.3,174.07,4076140,104499,230,77381,200
Mongolia,Mongolia,Eruption Dated,-2980,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Andesite / Basaltic Andesite, , , , , ,"1,8",Volcanic field,ASIA (EX. NEAR EAST),Kamchatka and Mainland Asia,Mongolia,Intraplate / Continental crust (>25 km),Taryatu-Chulutu,303010,1564116,2326,48.133,99.95,2832224,29050,5602,5602,5602
Taiwan,Taiwan,Eruption Dated,648,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , ,"640,3",Lava dome,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Taiwan,Subduction zone / Continental crust (>25 km),Tatun Volcanic Group,281032,35980,1120,25.178,121.553,23036087,9862061,5084149,6735396,5084149
United States,United States,Evidence Credible,Unknown,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"31,0",Shield,NORTHERN AMERICA,New Zealand to Fiji,Samoan and Wallis Islands,Subduction zone / Oceanic crust (< 15 km),Ta'u,244001,9631420,931,-14.23,-169.454,298444215,1538,1154,1538,95
New Zealand,New Zealand,Eruption Dated,260,Rhyolite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,"15,2",Caldera,OCEANIA,New Zealand to Fiji,New Zealand,Subduction zone / Continental crust (>25 km),Taupo,241070,268680,760,-38.82,176,4076140,161966,21456,26674,21456
Fiji,Fiji,Eruption Dated,1550,Basalt / Picro-Basalt, , , , ,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , ,"49,6",Shield,OCEANIA,New Zealand to Fiji,Fiji Islands,Subduction zone / Crustal thickness unknown,Taveuni,245010,18270,1241,-16.82,-179.97,905949,146131,3220,19186,692
El Salvador,El Salvador,Evidence Credible,Unknown,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"324,3",Stratovolcano,LATIN AMER. & CARIB,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),Tecapa,343080,21040,1593,13.494,-88.502,6822378,5599535,80502,590144,37337
Guatemala,Guatemala,Eruption Dated,-960,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"112,9",Stratovolcano,LATIN AMER. & CARIB,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Tecuamburro,342120,108890,1845,14.156,-90.407,12293545,6874746,29560,313834,1939
Nicaragua,Nicaragua,Eruption Observed,2018,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"43,0",Stratovolcano,LATIN AMER. & CARIB,México and Central America,Nicaragua,Subduction zone / Continental crust (>25 km),Telica,344040,129494,1036,12.606,-86.84,5570129,2982538,21990,327294,1079
Indonesia,Indonesia,Evidence Credible,Unknown,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Java,Subduction zone / Continental crust (>25 km),Telomoyo,263231,1919440,1864,-7.362,110.4,245452739,25617237,166844,2794587,38661
Indonesia,Indonesia,Eruption Observed,1937,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Sumatra,Subduction zone / Continental crust (>25 km),"Telong, Bur ni",261050,1919440,2617,4.769,96.821,245452739,1631846,25733,125812,1342
Turkey,Turkey,Eruption Observed,1855,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite,Phonolite,Phono-tephrite /  Tephri-phonolite, , , , , ,"90,2",Shield,NEAR EAST,Mediterranean and Western Asia,Turkey,Intraplate / Continental crust (>25 km),Tenduruk Dagi,213030,780580,3514,39.356,43.874,70413958,1938900,5060,173581,550
Spain,Spain,Eruption Observed,1909,Phonolite,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , ,"80,0",Stratovolcano,WESTERN EUROPE,Atlantic Ocean,Canary Islands,Intraplate / Oceanic crust (< 15 km),Tenerife,383030,504782,3715,28.271,-16.641,40397842,766276,156,337660,0
China,China,Eruption Dated,-5750,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite, , , , ,"136,9",Pyroclastic cone,ASIA (EX. NEAR EAST),Philippines and SE Asia,Southeast Asia,Intraplate / Continental crust (>25 km),Tengchong,275110,9596960,2865,25.23,98.5,1313973713,2932117,153375,419814,153375
Indonesia,Indonesia,Eruption Observed,2019,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Java,Subduction zone / Continental crust (>25 km),Tengger Caldera,263310,1919440,2329,-7.942,112.95,245452739,22628278,69451,1420878,27826
Costa Rica,Costa Rica,Evidence Credible,Unknown,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , ,"79,8",Stratovolcano,LATIN AMER. & CARIB,México and Central America,Costa Rica,Subduction zone / Continental crust (>25 km),Tenorio,345031,51100,1916,10.673,-85.015,4075261,943351,11670,92344,436
Ethiopia,Ethiopia,Unrest / Holocene,Unknown,Basalt / Picro-Basalt, , , , , , , , , ,"66,3",Shield,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Intraplate / Continental crust (>25 km),Tepi,221292,1127127,2728,7.42,35.43,74777981,1629787,63395,207121,63395
Portugal,Portugal,Eruption Observed,2000,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite, , ,Trachyandesite / Basaltic Trachyandesite,Rhyolite, , , ,"114,8",Stratovolcano,WESTERN EUROPE,Atlantic Ocean,Azores,Rift zone / Oceanic crust (< 15 km),Terceira,382050,92391,1023,38.73,-27.32,10605870,81512,12299,55425,2928
Iceland,Iceland,Eruption Dated,-900,Basalt / Picro-Basalt, , , , , , , , , ,"2,9",Shield,WESTERN EUROPE,Iceland and Arctic Ocean,Iceland (northeastern),Rift zone / Oceanic crust (< 15 km),Theistareykir,373090,103000,540,65.833,-17.166,299388,25779,36,3711,0
United States,United States,Eruption Dated,440,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , ,Rhyolite, , , , ,"31,0",Complex,NORTHERN AMERICA,Canada and Western USA,USA (Oregon),Subduction zone / Continental crust (>25 km),Three Sisters,322070,9631420,3159,44.133,-121.767,298444215,279885,0,5672,0
Indonesia,Indonesia,Evidence Credible,Unknown,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Halmahera,Subduction zone / Oceanic crust (< 15 km),Tidore,268061,1919440,1730,0.658,127.4,245452739,530066,74120,320483,37379
El Salvador,El Salvador,Evidence Credible,Unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"324,3",Stratovolcano,LATIN AMER. & CARIB,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),"Tigre, El",343082,21040,1640,13.47,-88.43,6822378,5456104,112718,786750,24354
Honduras,Honduras,Evidence Credible,Unknown,Basalt / Picro-Basalt, , , , , , , , , ,"65,4",Stratovolcano,LATIN AMER. & CARIB,México and Central America,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),"Tigre, Isla el",343130,112090,783,13.272,-87.641,7326496,2725661,9983,156692,5000
Chile,Chile,Evidence Uncertain,Unknown,Andesite / Basaltic Andesite, , , , , , , , , ,"21,3",Others,LATIN AMER. & CARIB,South America,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),Tilocalar,355105,756950,3109,-23.97,-68.13,16134219,6154,9,487,5
Solomon Islands,Solomon Islands,Eruption Observed,2020,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt,Dacite, , , ,"19,4",Stratovolcano,OCEANIA,Melanesia and Australia,Santa Cruz Islands,Subduction zone / Crustal thickness unknown,Tinakula,256010,28450,796,-10.386,165.804,552438,20155,19,19,0
Iceland,Iceland,Evidence Uncertain,Unknown,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Rhyolite,Andesite / Basaltic Andesite, , , , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,Iceland (southern),Rift zone / Oceanic crust (< 15 km),Tindfjallajokull,372040,103000,1464,63.783,-19.716,299388,19159,0,833,0
Chile,Chile,Eruption Observed,1917,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Tinguiririca,357030,756950,4280,-34.814,-70.352,16134219,881383,47,1883,10
Russia,Russia,Eruption Dated,-550,Basalt / Picro-Basalt, , , , , , , , , ,"8,4",Shield,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Titila,300560,17075200,1523,57.406,160.108,142893540,2877,0,72,0
Iceland,Iceland,Eruption Observed,1868,Basalt / Picro-Basalt, , , , , , , , , ,"2,9",Others,WESTERN EUROPE,Iceland and Arctic Ocean,Iceland (northeastern),Rift zone / Oceanic crust (< 15 km),Tjornes Fracture Zone,373100,103000,-75,66.309,-17.118,299388,22407,0,807,0
United States,United States,Evidence Credible,Unknown,Basalt / Picro-Basalt, , , , , , , , , ,"31,0",Volcanic field,NORTHERN AMERICA,Alaska,Alaska (eastern),Subduction zone / Continental crust (>25 km),Tlevak Strait-Suemez Is.,315060,9631420,50,55.25,-133.3,298444215,6552,0,1596,0
Indonesia,Indonesia,Evidence Credible,Unknown,Dacite,Rhyolite,Trachyandesite / Basaltic Trachyandesite,Andesite / Basaltic Andesite, , , , , , ,"127,9",Caldera,ASIA (EX. NEAR EAST),Indonesia,Sumatra,Subduction zone / Continental crust (>25 km),Toba,261090,1919440,2157,2.58,98.83,245452739,3437177,125908,168995,125908
