country,country (volcano.csv),evidence_category,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,subregion,tectonic_settings,volcano_name,volcano_number,Area (sq. mi.),elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
Argentina,Argentina,Evidence Credible,Unknown,Trachybasalt / Tephrite Basanite, , , , ,Basalt / Picro-Basalt, , , , ,"14,4",Pyroclastic cone,LATIN AMER. & CARIB,South America,Southern Chile and Argentina,Intraplate / Continental crust (>25 km),Crater Basalt Volcanic Field,358025,2766890,1344,-42.018,-70.194,39921833,20539,448,1140,448
United States,United States,Eruption Dated,-2850,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,"31,0",Caldera,NORTHERN AMERICA,Canada and Western USA,USA (Oregon),Subduction zone / Continental crust (>25 km),Crater Lake,322160,9631420,2487,42.93,-122.12,298444215,272674,52,366,52
United States,United States,Eruption Dated,-130,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,"31,0",Pyroclastic cone,NORTHERN AMERICA,Canada and Western USA,USA (Idaho),Rift zone / Continental crust (>25 km),Craters of the Moon,324020,9631420,2005,43.42,-113.5,298444215,93300,15,1459,15
Philippines,Philippines,Unrest / Holocene,Unknown,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,"298,2",Complex,ASIA (EX. NEAR EAST),Philippines and SE Asia,Central Philippines,Subduction zone / Continental crust (>25 km),Cuernos de Negros,272010,300000,1862,9.25,123.17,89468677,2960980,39681,531644,1458
Ecuador,Ecuador,Eruption Dated,650,Dacite, , , , , , , , , ,"47,8",Caldera,LATIN AMER. & CARIB,South America,Ecuador,Subduction zone / Continental crust (>25 km),Cuicocha,352003,283560,3246,0.308,-78.364,13547510,3193683,178815,364146,178815
Guatemala,Guatemala,Evidence Credible,Unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"112,9",Volcanic field,LATIN AMER. & CARIB,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Cuilapa-Barbarena,342111,108890,1454,14.33,-90.4,12293545,6943297,119602,987252,119602
Colombia,Colombia,Eruption Observed,1926,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"38,3",Stratovolcano,LATIN AMER. & CARIB,South America,Colombia,Subduction zone / Continental crust (>25 km),Cumbal,351100,1138910,4764,0.95,-77.87,43593035,1800919,10206,244853,1405
Mexico,Mexico,Eruption Dated,-3920,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,"54,5",Stratovolcano,LATIN AMER. & CARIB,México and Central America,Mexico,Subduction zone / Continental crust (>25 km),"Cumbres,  Las",341098,1972550,3940,19.15,-97.27,107449525,6365085,1923,315004,113
Ethiopia,Ethiopia,Eruption Observed,2005,Basalt / Picro-Basalt,Rhyolite,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , , , , ,"66,3",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Dabbahu,221113,1127127,1401,12.595,40.48,74777981,540735,1150,36494,204
Ethiopia,Ethiopia,Evidence Credible,Unknown,Basalt / Picro-Basalt,Rhyolite, , , , , , , , ,"66,3",Shield,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Dabbayra,221114,1127127,1302,12.38,40.07,74777981,1946949,3324,47053,804
Papua New Guinea,Papua New Guinea,Eruption Dated,1895,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,"12,3",Caldera,OCEANIA,Melanesia and Australia,New Britain,Subduction zone / Continental crust (>25 km),Dakataua,252040,462840,408,-5.094,150.094,5670544,113954,1147,3743,1147
Ethiopia,Ethiopia,Eruption Observed,1631,Basalt / Picro-Basalt,Trachyte / Trachydacite,Rhyolite, , , , , , , ,"66,3",Shield,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Dama Ali,221141,1127127,1068,11.28,41.63,74777981,353949,1944,40013,24
Iran,Iran,Eruption Dated,-5350,Trachyandesite / Basaltic Trachyandesite, , , , ,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , ,"41,7",Stratovolcano,ASIA (EX. NEAR EAST),Middle East and Indian Ocean,Middle East (western),Intraplate / Continental crust (>25 km),Damavand,232010,1648000,5670,35.951,52.109,68688433,11945981,2295,59171,27
Mongolia,Mongolia,Evidence Credible,Unknown,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Foidite, , , , , , , ,"1,8",Pyroclastic cone,ASIA (EX. NEAR EAST),Kamchatka and Mainland Asia,Mongolia,Intraplate / Continental crust (>25 km),Dariganga Volcanic Field,303040,1564116,1778,45.754,114.279,2832224,25280,18247,18247,18247
Ecuador,Ecuador,Eruption Dated,1813,Basalt / Picro-Basalt, , , , ,Andesite / Basaltic Andesite, , , , ,"47,8",Shield,LATIN AMER. & CARIB,South America,Galapagos Islands,Rift zone / Oceanic crust (< 15 km),Darwin,353030,283560,1330,-0.18,-91.28,13547510,2366,190,343,190
Indonesia,Indonesia,Unrest / Holocene,Unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Sumatra,Subduction zone / Continental crust (>25 km),"Daun, Bukit",261210,1919440,2467,-3.38,102.37,245452739,2318233,42410,425096,4088
United States,United States,Eruption Dated,-2790,Andesite / Basaltic Andesite, , , , , , , , , ,"31,0",Volcanic field,NORTHERN AMERICA,Canada and Western USA,USA (Oregon),Subduction zone / Continental crust (>25 km),Davis Lake,322100,9631420,2163,43.57,-121.82,298444215,164597,1440,7483,1440
Papua New Guinea,Papua New Guinea,Eruption Dated,1350,Rhyolite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,"12,3",Volcanic field,OCEANIA,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,Subduction zone / Continental crust (>25 km),Dawson Strait Group,253060,462840,500,-9.62,150.88,5670544,80476,5388,7721,5388
Indonesia,Indonesia,Eruption Observed,2017,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Sumatra,Subduction zone / Continental crust (>25 km),Dempo,261230,1919440,3142,-4.016,103.121,245452739,2307584,9613,96058,124
Chile,Chile,Eruption Observed,1933,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Descabezado Grande,357050,756950,3953,-35.58,-70.75,16134219,704116,142,3454,39
United States,United States,Evidence Uncertain,Unknown,Basalt / Picro-Basalt, , , , , , , , , ,"31,0",Volcanic field,NORTHERN AMERICA,Canada and Western USA,USA (Oregon),Rift zone / Continental crust (>25 km),Devils Garden,322120,9631420,1698,43.512,-120.861,298444215,162601,51,287,51
Yemen,Yemen,Eruption Observed,1937,Basalt / Picro-Basalt,Rhyolite, , , , , , , , ,"40,6",Volcanic field,NEAR EAST,Middle East and Indian Ocean,Middle East (southern),Intraplate / Continental crust (>25 km),"Dhamar, Harras of",231120,527970,3500,14.57,44.67,21456188,5778965,791276,791276,791276
Dominica,Dominica,Evidence Credible,Unknown,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"91,4",Lava dome,LATIN AMER. & CARIB,West Indies,West Indies,Subduction zone / Oceanic crust (< 15 km),"Diables, Morne aux",360080,754,861,15.612,-61.43,68910,479470,12036,33148,8048
Dominica,Dominica,Evidence Uncertain,Unknown,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,"91,4",Stratovolcano,LATIN AMER. & CARIB,West Indies,West Indies,Subduction zone / Oceanic crust (< 15 km),"Diablotins, Morne",360090,754,1430,15.503,-61.397,68910,513702,9775,69935,423
United States,United States,Eruption Dated,-5610,Basalt / Picro-Basalt, , , , , , , , , ,"31,0",Volcanic field,NORTHERN AMERICA,Canada and Western USA,USA (Oregon),Rift zone / Continental crust (>25 km),Diamond Craters,322170,9631420,1435,43.1,-118.75,298444215,6969,66,136,66
Indonesia,Indonesia,Eruption Observed,2018,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Complex,ASIA (EX. NEAR EAST),Indonesia,Java,Subduction zone / Continental crust (>25 km),Dieng Volcanic Complex,263200,1919440,2565,-7.2,109.879,245452739,24381814,1092929,1886942,1092929
Russia,Russia,Eruption Dated,350,Dacite,Andesite / Basaltic Andesite,Rhyolite, , , , , , , ,"8,4",Lava dome,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Diky Greben,300022,17075200,1040,51.452,156.978,142893540,4568,56,544,0
Argentina,Argentina,Evidence Uncertain,Unknown,Dacite, , , , , , , , , ,"14,4",Stratovolcano,LATIN AMER. & CARIB,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Domuyo,357067,2766890,4702,-36.638,-70.432,39921833,30006,34,1425,1
Eritrea,Eritrea,Eruption Observed,1861,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , ,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Rhyolite, , ,"39,5",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Dubbi,221100,121320,1625,13.579,41.809,4786994,14867,0,18,0
Indonesia,Indonesia,Eruption Observed,2020,Andesite / Basaltic Andesite,Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , , , ,"127,9",Complex,ASIA (EX. NEAR EAST),Indonesia,Halmahera,Subduction zone / Oceanic crust (< 15 km),Dukono,268010,1919440,1229,1.693,127.894,245452739,393070,3348,101506,1575
Mexico,Mexico,Evidence Credible,Unknown,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , , , , , , ,"54,5",Pyroclastic cone,LATIN AMER. & CARIB,México and Central America,Mexico,Subduction zone / Continental crust (>25 km),Durango Volcanic Field,341022,1972550,2075,24.15,-104.45,107449525,797133,571282,571282,571282
Russia,Russia,Evidence Credible,Unknown,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"8,4",Others,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Dzenzursky,300110,17075200,2285,53.637,158.922,142893540,250934,0,110,0
United States,United States,Unrest / Holocene,Unknown,Dacite, , , , , , , , , ,"31,0",Others,NORTHERN AMERICA,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,East Diamante,284201,9631420,-127,15.93,145.67,298444215,76403,0,0,0
Chile,Chile,Evidence Credible,Unknown,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite,Rhyolite, ,Trachyte / Trachydacite, , , , ,"21,3",Shield,LATIN AMER. & CARIB,South America,Pacific Ocean (Chilean Islands),Rift zone / Oceanic crust (< 15 km),Easter Island,356011,756950,511,-27.15,-109.38,16134219,4091,4029,4091,698
Russia,Russia,Eruption Observed,2020,Andesite / Basaltic Andesite, , , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kuril Islands,Kuril Islands,Subduction zone / Continental crust (>25 km),Ebeko,290380,17075200,1103,50.686,156.014,142893540,3098,267,1076,0
Kenya,Kenya,Evidence Credible,Unknown,Rhyolite,Phonolite,Trachyte / Trachydacite, , , , , , , ,"59,6",Complex,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (eastern),Rift zone / Continental crust (>25 km),"Eburru, Ol Doinyo",222080,582650,2856,-0.65,36.22,34707817,7992639,9365,323529,460
Ecuador,Ecuador,Eruption Dated,1150,Basalt / Picro-Basalt, , , , , , , , , ,"47,8",Shield,LATIN AMER. & CARIB,South America,Galapagos Islands,Rift zone / Oceanic crust (< 15 km),Ecuador,353011,283560,790,-0.02,-91.546,13547510,894,135,193,135
United States,United States,Eruption Dated,-2220,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite,Dacite, , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,Alaska (eastern),Intraplate / Continental crust (>25 km),Edgecumbe,315040,9631420,970,57.05,-135.75,298444215,7074,0,6613,0
Canada,Canada,Eruption Dated,950,Trachyte / Trachydacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, ,Trachyandesite / Basaltic Trachyandesite, , , , ,"3,3",Stratovolcano,NORTHERN AMERICA,Canada and Western USA,Canada,Intraplate / Continental crust (>25 km),Edziza,320060,9984670,2786,57.72,-130.63,33098932,898,0,0,0
Russia,Russia,Eruption Dated,50,Dacite,Andesite / Basaltic Andesite,Rhyolite,Trachyte / Trachydacite, , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Mediterranean and Western Asia,Western Asia,Intraplate / Continental crust (>25 km),Elbrus,214010,17075200,5642,43.351,42.442,142893540,1469719,195,5718,26
Russia,Russia,Eruption Dated,-7550,Basalt / Picro-Basalt, , , , , , , , , ,"8,4",Shield,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Elovsky,300590,17075200,1381,57.55,160.53,142893540,2704,0,44,0
United States,United States,Evidence Credible,Unknown,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite, , , , , , , ,"31,0",Caldera,NORTHERN AMERICA,Alaska,Alaska Peninsula,Subduction zone / Continental crust (>25 km),Emmons Lake,312020,9631420,1436,55.341,-162.073,298444215,1199,0,686,0
Kenya,Kenya,Eruption Dated,1910,Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , , , , ,"59,6",Shield,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (eastern),Rift zone / Continental crust (>25 km),Emuruangogolak,222051,582650,1285,1.5,36.33,34707817,445177,252,4448,80
Canada,Canada,Eruption Dated,-3490,Basalt / Picro-Basalt, , , , , , , , , ,"3,3",Others,NORTHERN AMERICA,Hawaii and Pacific Ocean,Pacific Ocean (northern),Rift zone / Oceanic crust (< 15 km),Endeavour Segment,331010,9984670,-2050,47.95,-129.1,33098932,0,0,0,0
Vanuatu,Vanuatu,Eruption Observed,2004,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,"17,1",Stratovolcano,OCEANIA,Melanesia and Australia,Vanuatu,Subduction zone / Intermediate crust (15-25 km),Epi,257060,12200,833,-16.68,168.37,208869,52827,170,7819,0
Turkey,Turkey,Eruption Dated,-6880,Dacite,Andesite / Basaltic Andesite,Rhyolite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , ,"90,2",Stratovolcano,NEAR EAST,Mediterranean and Western Asia,Turkey,Intraplate / Continental crust (>25 km),Erciyes Dagi,213010,780580,3864,38.531,35.447,70413958,1817720,8036,767813,1715
Ethiopia,Ethiopia,Eruption Observed,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"66,3",Shield,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Erta Ale,221080,1127127,613,13.6,40.67,74777981,235083,2796,8857,2685
Japan,Japan,Eruption Observed,1874,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Lava dome,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Hokkaido,Subduction zone / Continental crust (>25 km),Esan,285011,377835,618,41.805,141.166,127463611,916560,5831,33197,1734
Iceland,Iceland,Unrest / Holocene,Unknown,Basalt / Picro-Basalt, , , , ,Rhyolite, , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,Iceland (southeastern),Rift zone / Oceanic crust (< 15 km),Esjufjoll,374020,103000,1620,64.25,-16.583,299388,2564,0,0,0
Nicaragua,Nicaragua,Evidence Uncertain,Unknown,Basalt / Picro-Basalt, , , , , , , , , ,"43,0",Others,LATIN AMER. & CARIB,México and Central America,Nicaragua,Subduction zone / Continental crust (>25 km),Esteli,344131,129494,899,13.17,-86.4,5570129,2574633,133804,246244,133804
Italy,Italy,Eruption Observed,2020,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , ,Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite, , , ,"193,0",Stratovolcano,WESTERN EUROPE,Mediterranean and Western Asia,Italy,Subduction zone / Continental crust (>25 km),Etna,211060,301230,3295,37.748,14.999,58133509,3052770,3291,1016540,78
Iceland,Iceland,Eruption Observed,2010,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , , , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,Iceland (southern),Rift zone / Oceanic crust (< 15 km),Eyjafjallajokull,372020,103000,1651,63.633,-19.633,299388,18516,4,786,0
United States,United States,Eruption Observed,1967,Andesite / Basaltic Andesite, , , , , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Crustal thickness unknown,Farallon de Pajaros,284140,9631420,337,20.546,144.893,298444215,0,0,0,0
Portugal,Portugal,Eruption Observed,1958,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , ,"114,8",Stratovolcano,WESTERN EUROPE,Atlantic Ocean,Azores,Rift zone / Oceanic crust (< 15 km),Fayal,382010,92391,1043,38.6,-28.73,10605870,50663,13757,24414,1514
Ethiopia,Ethiopia,Eruption Observed,1820,Rhyolite,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , , , , , ,"66,3",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Continental crust (>25 km),Fentale,221190,1127127,2007,8.975,39.93,74777981,3482286,14201,169357,1919
United States,United States,Eruption Observed,1830,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,Aleutian Islands,Subduction zone / Continental crust (>25 km),Fisher,311350,9631420,1112,54.65,-164.43,298444215,25,0,0,0
Guatemala,Guatemala,Evidence Credible,Unknown,Basalt / Picro-Basalt, , , , , , , , , ,"112,9",Volcanic field,LATIN AMER. & CARIB,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Flores,342140,108890,1600,14.308,-89.992,12293545,7489933,205145,397357,205145
Portugal,Portugal,Eruption Dated,-950,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, ,Phono-tephrite /  Tephri-phonolite, , , , ,"114,8",Stratovolcano,WESTERN EUROPE,Atlantic Ocean,Azores,Intraplate / Continental crust (>25 km),Flores,382001,92391,914,39.462,-31.216,10605870,5865,4560,5825,1054
Cape Verde,Cape Verde,Eruption Observed,2015,Foidite,Trachybasalt / Tephrite Basanite,Phonolite, , , , , , , ,"104,4",Stratovolcano,SUB-SAHARAN AFRICA,Atlantic Ocean,Cape Verde Islands,Intraplate / Intermediate crust (15-25 km),Fogo,384010,4033,2829,14.95,-24.35,420979,267298,13254,37650,189
Uganda,Uganda,Eruption Dated,-2120,Foidite, , , , , , , , , ,"119,5",Others,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (central),Rift zone / Continental crust (>25 km),Fort Portal,223001,236040,1615,0.7,30.25,28195754,4167189,242914,498815,242914
Canada,Canada,Evidence Uncertain,Unknown,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Foidite, , , , , , , ,"3,3",Volcanic field,NORTHERN AMERICA,Canada and Western USA,Canada,Intraplate / Continental crust (>25 km),Fort Selkirk,320010,9984670,1239,62.93,-137.38,33098932,491,6,6,6
France,France,Eruption Observed,2020,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"111,3",Shield,WESTERN EUROPE,Middle East and Indian Ocean,Indian Ocean (western),Intraplate / Oceanic crust (< 15 km),"Fournaise, Piton de la",233020,547030,2632,-21.244,55.708,60876136,717820,55859,246792,55859
Iceland,Iceland,Eruption Dated,-1200,Basalt / Picro-Basalt,Rhyolite, , , , , , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,Iceland (northeastern),Rift zone / Oceanic crust (< 15 km),Fremrinamar,373070,103000,970,65.416,-16.666,299388,19143,0,476,0
United States,United States,Evidence Credible,Unknown,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,Alaska Peninsula,Subduction zone / Continental crust (>25 km),Frosty,312010,9631420,1728,55.067,-162.835,298444215,1153,0,67,0
Guatemala,Guatemala,Eruption Observed,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Trachyandesite / Basaltic Trachyandesite, , , , ,"112,9",Stratovolcano,LATIN AMER. & CARIB,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Fuego,342090,108890,3763,14.473,-90.88,12293545,7677809,54332,1016339,1373
Spain,Spain,Evidence Credible,Unknown,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Foidite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,"80,0",Others,WESTERN EUROPE,Atlantic Ocean,Canary Islands,Intraplate / Intermediate crust (15-25 km),Fuerteventura,383050,504782,529,28.358,-14.02,40397842,226781,8752,52038,1432
Japan,Japan,Eruption Observed,1708,Basalt / Picro-Basalt, , , , ,Andesite / Basaltic Andesite,Dacite, , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Fujisan,283030,377835,3776,35.361,138.728,127463611,25022187,1759,906969,570
Japan,Japan,Eruption Dated,-400,Basalt / Picro-Basalt, , , , , , , , , ,"337,4",Shield,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),Fukue,282091,377835,315,32.657,128.849,127463611,704523,40407,61450,18334
Portugal,Portugal,Eruption Observed,1630,Trachyte / Trachydacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,"114,8",Stratovolcano,WESTERN EUROPE,Atlantic Ocean,Azores,Rift zone / Oceanic crust (< 15 km),Furnas,382100,92391,805,37.77,-25.32,10605870,153182,7310,87865,1333
Ethiopia,Ethiopia,Evidence Credible,Unknown,Rhyolite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,"66,3",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Gabillema,221150,1127127,1459,11.08,41.27,74777981,373968,772,12626,248
Ethiopia,Ethiopia,Evidence Credible,Unknown,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , , , ,"66,3",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Gada Ale,221050,1127127,287,13.975,40.408,74777981,618972,605,4827,101
Colombia,Colombia,Eruption Observed,2014,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"38,3",Complex,LATIN AMER. & CARIB,South America,Colombia,Subduction zone / Continental crust (>25 km),Galeras,351080,1138910,4276,1.22,-77.37,43593035,1700248,120817,630777,705
Solomon Islands,Solomon Islands,Evidence Uncertain,Unknown,Andesite / Basaltic Andesite, , , , , , , , , ,"19,4",Volcanic field,OCEANIA,Melanesia and Australia,Bougainville and Solomon Islands,Subduction zone / Crustal thickness unknown,Gallego,255062,28450,1000,-9.35,159.73,552438,169626,10017,81587,10017
Indonesia,Indonesia,Eruption Observed,1984,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Rhyolite, , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Java,Subduction zone / Continental crust (>25 km),Galunggung,263140,1919440,2168,-7.25,108.058,245452739,23897342,66495,2382939,4781
Indonesia,Indonesia,Eruption Observed,2018,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Halmahera,Subduction zone / Oceanic crust (< 15 km),Gamalama,268060,1919440,1715,0.8,127.33,245452739,536972,204820,308691,103429
Russia,Russia,Eruption Dated,-550,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"8,4",Complex,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Gamchen,300210,17075200,2539,54.974,160.703,142893540,3829,0,382,0
Indonesia,Indonesia,Eruption Observed,2007,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Halmahera,Subduction zone / Oceanic crust (< 15 km),Gamkonora,268040,1919440,1635,1.38,127.53,245452739,627128,12744,61376,3354
Canada,Canada,Eruption Dated,-8060,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,"3,3",Stratovolcano,NORTHERN AMERICA,Canada and Western USA,Canada,Subduction zone / Continental crust (>25 km),Garibaldi,320200,9984670,2678,49.85,-123,33098932,2264818,22,16058,0
Canada,Canada,Evidence Credible,Unknown,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite,Trachyandesite / Basaltic Trachyandesite, , , ,"3,3",Volcanic field,NORTHERN AMERICA,Canada and Western USA,Canada,Subduction zone / Continental crust (>25 km),Garibaldi Lake,320190,9984670,2316,49.933,-123,33098932,2218089,6635,28109,6635
Papua New Guinea,Papua New Guinea,Evidence Credible,Unknown,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , ,Rhyolite, , , , ,"12,3",Stratovolcano,OCEANIA,Melanesia and Australia,New Britain,Subduction zone / Oceanic crust (< 15 km),Garove,252030,462840,368,-4.687,149.511,5670544,18704,5887,6388,4259
Papua New Guinea,Papua New Guinea,Evidence Uncertain,Unknown,Rhyolite,Andesite / Basaltic Andesite, , , , , , , , ,"12,3",Volcanic field,OCEANIA,Melanesia and Australia,New Britain,Subduction zone / Continental crust (>25 km),Garua Harbour,252060,462840,565,-5.3,150.07,5670544,123676,12090,44354,12090
Vanuatu,Vanuatu,Eruption Observed,2011,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,"17,1",Stratovolcano,OCEANIA,Melanesia and Australia,Vanuatu,Subduction zone / Intermediate crust (15-25 km),Gaua,257020,12200,797,-14.27,167.5,208869,8834,1200,2848,166
